city,neighborhood,neighborhood_is_generic,property_type,surface_m2,bedrooms,bathrooms,floor,price_dh,floor_known,surface_known,rooms_info_known,floor_appartement
Safi,ville_nouvelle,False,Appartement,81.0,4.0,2.0,1.0,1800000.0,1,0,1,1.0
Safi,hay_essalam,False,Appartement,83.0,2.0,1.0,1.0,1750000.0,1,1,1,1.0
Safi,hay_essalam,False,Appartement,69.0,2.0,1.0,3.0,3385000.0,1,1,1,3.0
Safi,azib_derai,False,Appartement,100.0,4.0,2.0,1.0,1440000.0,1,1,1,1.0
Safi,lamiaa,False,Appartement,55.0,2.0,1.0,2.0,2250000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,78.0,2.0,2.0,1.0,1420000.0,1,1,1,1.0
Safi,azib_derai,False,Appartement,35.0,1.0,1.0,1.0,1460000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,120.0,2.0,1.0,3.0,3520000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,100.0,2.0,1.0,0.0,285000.0,1,1,1,0.0
Safi,azib_derai,False,Appartement,120.0,2.0,2.0,3.0,3430000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,84.0,2.0,2.0,0.0,580000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,75.0,2.0,1.0,0.0,750000.0,1,1,1,0.0
Safi,had_soualem,False,Appartement,128.0,3.0,2.0,3.0,3750000.0,1,1,1,3.0
Safi,had_soualem,False,Appartement,95.0,3.0,1.0,1.0,1410000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,81.0,2.0,1.0,1.0,1595000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,160.0,3.0,2.0,1.0,11380000.0,1,1,1,1.0
Safi,had_soualem,False,Appartement,70.0,3.0,2.0,3.0,3280000.0,1,1,1,3.0
Safi,najmat_al_janoub,False,Appartement,73.0,2.0,1.0,4.0,4390000.0,1,1,1,4.0
Safi,najd,False,Appartement,67.0,2.0,1.0,0.0,460000.0,1,1,1,0.0
Safi,quartier_aérodrome,False,Appartement,96.0,3.0,2.0,3.0,3800000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,77.0,2.0,1.0,2.0,2480000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,65.0,2.0,1.0,1.0,1640000.0,1,1,1,1.0
Safi,centre,True,Appartement,66.0,2.0,1.0,3.0,3580000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,55.0,2.0,1.0,4.0,4270000.0,1,1,1,4.0
Safi,autre_secteur,True,Appartement,73.0,3.0,1.0,1.0,1510000.0,1,1,1,1.0
Safi,had_soualem,False,Appartement,100.0,4.0,2.0,2.0,2490000.0,1,1,1,2.0
Safi,najd,False,Appartement,75.0,3.0,1.0,1.0,1540000.0,1,1,1,1.0
Safi,saada,False,Appartement,128.0,3.0,2.0,0.0,650000.0,1,1,1,0.0
Safi,saada,False,Appartement,105.0,2.0,1.0,0.0,680000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,81.0,2.0,1.0,2.0,2400000.0,1,0,1,2.0
Safi,autre_secteur,True,Appartement,148.0,3.0,2.0,1.0,1560000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,91.0,3.0,1.0,1.0,1660000.0,1,1,1,1.0
Safi,azemmour,False,Appartement,50.0,2.0,1.0,0.0,380000.0,1,1,1,0.0
Safi,corniche,False,Appartement,67.0,1.0,1.0,1.0,1580000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,81.0,3.0,2.0,2.0,2700000.0,1,0,1,2.0
Safi,autre_secteur,True,Appartement,81.0,2.0,2.0,2.0,2700000.0,1,0,1,2.0
Safi,al_boustane,False,Appartement,68.0,2.0,1.0,1.0,1600000.0,1,1,1,1.0
Safi,najd,False,Appartement,60.0,2.0,1.0,1.0,1520000.0,1,1,1,1.0
Safi,had_soualem,False,Appartement,81.0,3.0,2.0,1.0,1440000.0,1,0,1,1.0
Safi,autre_secteur,True,Appartement,81.0,3.0,1.0,0.0,700000.0,1,0,0,0.0
Safi,sidi_moussa,False,Appartement,64.0,2.0,1.0,1.0,1580000.0,1,1,1,1.0
Safi,dar_assalam,False,Appartement,94.0,2.0,2.0,0.0,640000.0,1,1,1,0.0
Safi,al_boustane,False,Appartement,120.0,3.0,2.0,2.0,2760000.0,1,1,1,2.0
Safi,hay_essalam,False,Appartement,220.0,3.0,2.0,0.0,900000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,81.0,2.0,1.0,2.0,2470000.0,1,0,1,2.0
Safi,autre_secteur,True,Appartement,100.0,2.0,1.0,0.0,800000.0,1,1,1,0.0
Safi,hay_al_amal,False,Appartement,68.0,2.0,1.0,4.0,4320000.0,1,1,1,4.0
Safi,autre_secteur,True,Appartement,98.0,3.0,1.0,2.0,2800000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,56.0,2.0,1.0,3.0,3360000.0,1,1,1,3.0
Safi,had_soualem,False,Appartement,86.0,3.0,1.0,3.0,3460000.0,1,1,1,3.0
Safi,azemmour,False,Appartement,85.0,2.0,1.0,0.0,300000.0,1,1,1,0.0
Safi,najd,False,Appartement,53.0,2.0,1.0,1.0,1300000.0,1,1,0,1.0
Safi,najd,False,Appartement,90.0,3.0,2.0,2.0,2540000.0,1,1,1,2.0
Safi,had_soualem,False,Appartement,97.0,3.0,1.0,3.0,3610000.0,1,1,1,3.0
Safi,quartier_aérodrome,False,Appartement,70.0,3.0,2.0,2.0,2560000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,61.0,2.0,1.0,2.0,2900000.0,1,1,1,2.0
Safi,had_soualem,False,Appartement,120.0,5.0,2.0,2.0,2490000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,132.0,3.0,2.0,1.0,11450000.0,1,1,1,1.0
Safi,najd,False,Appartement,65.0,2.0,1.0,1.0,1485000.0,1,1,1,1.0
Safi,had_soualem,False,Appartement,130.0,5.0,2.0,3.0,3870000.0,1,1,1,3.0
Safi,hay_essalam,False,Appartement,74.0,2.0,1.0,1.0,1450000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,120.0,3.0,2.0,1.0,1900000.0,1,1,1,1.0
Safi,ezzohor,False,Appartement,86.0,2.0,1.0,1.0,1640000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,55.0,2.0,1.0,2.0,2350000.0,1,1,1,2.0
Safi,sidi_moussa,False,Appartement,88.0,2.0,2.0,0.0,560000.0,1,1,1,0.0
Safi,quartier_aérodrome,False,Appartement,96.0,3.0,1.0,0.0,640000.0,1,1,1,0.0
Safi,had_soualem,False,Appartement,94.0,3.0,2.0,1.0,1600000.0,1,1,1,1.0
Safi,azemmour,False,Appartement,107.0,3.0,1.0,2.0,2450000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,71.0,2.0,1.0,3.0,3640000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,65.0,3.0,1.0,1.0,1350000.0,1,1,1,1.0
Safi,najd,False,Appartement,82.0,3.0,2.0,0.0,620000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,60.0,2.0,1.0,2.0,2380000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,54.0,2.0,1.0,3.0,3280000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,72.0,2.0,1.0,4.0,4700000.0,1,1,1,4.0
Safi,oualidia,False,Appartement,46.0,2.0,1.0,1.0,1409000.0,1,1,1,1.0
Safi,centre,True,Appartement,90.0,3.0,1.0,2.0,2660000.0,1,1,1,2.0
Safi,centre,True,Appartement,87.0,3.0,2.0,3.0,3680000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,95.0,2.0,2.0,1.0,1980000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,94.0,3.0,2.0,1.0,1730000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,83.0,2.0,1.0,0.0,430000.0,1,1,1,0.0
Safi,azemmour,False,Appartement,70.0,2.0,1.0,3.0,3310000.0,1,1,1,3.0
Safi,centre,True,Appartement,81.0,2.0,1.0,2.0,2600000.0,1,0,1,2.0
Safi,had_soualem,False,Appartement,120.0,3.0,2.0,3.0,3610000.0,1,1,1,3.0
Safi,quartier_aérodrome,False,Appartement,78.0,2.0,1.0,2.0,2580000.0,1,1,1,2.0
Safi,hay_essalam,False,Appartement,67.0,2.0,0.0,2.0,2580000.0,1,1,1,2.0
Safi,sidi_moussa,False,Appartement,66.0,2.0,1.0,1.0,1490000.0,1,1,1,1.0
Safi,centre,True,Appartement,108.0,2.0,1.0,1.0,1560000.0,1,1,1,1.0
Safi,quartier_aérodrome,False,Appartement,77.0,2.0,2.0,2.0,2560000.0,1,1,1,2.0
Safi,quartier_aérodrome,False,Appartement,77.0,2.0,1.0,3.0,3580000.0,1,1,1,3.0
Safi,quartier_aérodrome,False,Appartement,77.0,2.0,2.0,1.0,1580000.0,1,1,1,1.0
Safi,quartier_aérodrome,False,Appartement,52.0,2.0,2.0,2.0,2330000.0,1,1,1,2.0
Safi,najd,False,Appartement,75.0,3.0,1.0,2.0,2540000.0,1,1,1,2.0
Safi,quartier_aérodrome,False,Appartement,122.0,2.0,2.0,2.0,2680000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,60.0,2.0,1.0,3.0,3380000.0,1,1,1,3.0
Safi,corniche,False,Appartement,90.0,2.0,2.0,0.0,590000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,65.0,2.0,1.0,3.0,3570000.0,1,1,1,3.0
Safi,mouilha,False,Appartement,86.0,2.0,1.0,1.0,1590000.0,1,1,1,1.0
Safi,centre,True,Appartement,73.0,2.0,1.0,4.0,4820000.0,1,1,1,4.0
Safi,azemmour,False,Appartement,100.0,2.0,1.0,0.0,520000.0,1,1,1,0.0
Safi,hay_essalam,False,Appartement,87.0,2.0,1.0,3.0,3430000.0,1,1,1,3.0
Safi,quartier_aérodrome,False,Appartement,81.0,4.0,4.0,1.0,1990000.0,1,0,1,1.0
Safi,quartier_aérodrome,False,Appartement,77.0,2.0,1.0,2.0,2580000.0,1,1,1,2.0
Safi,quartier_aérodrome,False,Appartement,103.0,3.0,3.0,2.0,2770000.0,1,1,1,2.0
